Date/Time,Mean Temp (C),Max Temp (C),Min Temp (C),Total Rain (mm),Total Snow (cm),Total Precip (mm),season
5/1/1971,11.6,18.5,4.6,34.8,0,34.8,Spring
6/1/1971,17.9,24.2,11.5,77,0,77,Summer
7/1/1971,19,25.5,12.4,78.5,0,78.5,Summer
8/1/1971,18.8,25.6,12,126,0,126,Summer
9/1/1971,16.9,22.2,11.5,32.5,0,32.5,Fall
10/1/1971,12.6,17.9,7.2,37.6,0,37.6,Fall
11/1/1971,2.6,6.6,-1.5,19.3,16.5,35.1,Fall
12/1/1971,-1.3,3.1,-5.6,66,31.5,92.7,Winter
1/1/1972,-6,-1.3,-10.6,10.9,32.8,37.8,Winter
2/1/1972,-8,-2.8,-13.1,6.1,55.1,59.7,Winter
3/1/1972,-4.3,-0.1,-8.4,31.2,42.4,96.8,Spring
4/1/1972,2.8,8.1,-2.5,42.2,10.2,52.8,Spring
5/1/1972,13,19.8,6.2,35.3,0,35.3,Spring
6/1/1972,15.6,21.4,9.7,113,0,113,Summer
7/1/1972,19.8,26.2,13.3,34.5,0,34.5,Summer
8/1/1972,18.5,24.3,12.6,74.9,0,74.9,Summer
9/1/1972,15.4,21.7,9,84.1,0,84.1,Fall
10/1/1972,6.3,11.4,1.1,98.6,0.3,98.8,Fall
11/1/1972,1,4.2,-2.2,53.1,17.8,72.1,Fall
12/1/1972,-3.1,0.6,-6.8,54.6,46.2,95,Winter
1/1/1973,-4.3,-0.2,-8.3,19.6,14,34.3,Winter
2/1/1973,-7.6,-2.3,-12.9,19.3,19.8,36.3,Winter
3/1/1973,3.2,7.5,-1.1,112.3,8.9,121.2,Spring
4/1/1973,6.5,11.7,1.3,60.2,2.3,62.2,Spring
5/1/1973,10.9,16,5.7,87.9,0,87.9,Spring
6/1/1973,18.4,24.4,12.4,67.8,0,67.8,Summer
7/1/1973,20.8,27.3,14.2,62.5,0,62.5,Summer
8/1/1973,21.9,28.1,15.6,29.2,0,29.2,Summer
9/1/1973,15.7,22.6,8.7,53.3,0,53.3,Fall
10/1/1973,10.7,15.8,5.5,124.7,0,124.7,Fall
11/1/1973,3.6,7.4,-0.2,91.4,1.8,93,Fall
12/1/1973,-4.5,-0.7,-8.2,37.8,45.5,76.5,Winter
1/1/1974,-5.9,-1.6,-10.2,34.3,35.6,66.8,Winter
2/1/1974,-8,-3.2,-12.7,23.9,25.7,45.2,Winter
3/1/1974,-1,3.3,-5.2,41.1,17.3,56.9,Spring
4/1/1974,7,13,1,90.7,1.5,92.2,Spring
5/1/1974,9.9,15.7,4,140,0,140,Spring
6/1/1974,16.6,22.3,10.9,127.3,0,127.3,Summer
7/1/1974,20.3,26.7,13.9,58.7,0,58.7,Summer
8/1/1974,19.7,26.5,12.8,14.5,0,14.5,Summer
9/1/1974,13.9,20.4,7.3,46.5,0,46.5,Fall
10/1/1974,7.1,13.3,0.8,24.1,0,24.1,Fall
11/1/1974,3.1,6.9,-0.7,72.6,2.3,74.7,Fall
12/1/1974,-1.3,1.6,-4.2,16.3,28.4,45.5,Winter
1/1/1975,-3.4,1,-7.7,40.9,16,51.6,Winter
2/1/1975,-3.9,-0.5,-7.3,47,31.8,72.4,Winter
3/1/1975,-2.5,1.7,-6.6,44.5,18.8,63.8,Spring
4/1/1975,2.8,7.7,-2.2,42.2,27.2,69.6,Spring
5/1/1975,15.5,21.6,9.3,64.3,0,64.3,Spring
6/1/1975,18.1,23.8,12.4,62.5,0,62.5,Summer
7/1/1975,21.6,28.3,14.9,51.3,0,51.3,Summer
8/1/1975,19.9,25.9,13.9,109,0,109,Summer
9/1/1975,13.1,18.4,7.8,65.3,0,65.3,Fall
10/1/1975,9.4,14.7,4.1,54.9,0,54.9,Fall
11/1/1975,6.4,10.9,1.9,52.8,2.5,54.9,Fall
12/1/1975,-4.9,-0.1,-9.6,27.4,60.7,69.9,Winter
1/1/1976,-10.1,-4.2,-16,11.9,47.8,52.3,Winter
2/1/1976,-2.8,1.8,-7.3,52.8,6.6,59.2,Winter
3/1/1976,0.2,5,-4.7,64.8,27.7,116.3,Spring
4/1/1976,7.7,13.7,1.6,47.8,15.2,72.1,Spring
5/1/1976,10.6,16.3,4.9,112.3,2.3,114.6,Spring
6/1/1976,18.6,24.9,12.3,83.3,0,83.3,Summer
7/1/1976,18.6,24.3,12.9,81.8,0,81.8,Summer
8/1/1976,18.6,24.9,12.2,64.8,0,64.8,Summer
9/1/1976,14.4,20.5,8.3,69.9,0,69.9,Fall
10/1/1976,6.1,10.9,1.2,59.4,4.1,64.5,Fall
11/1/1976,0.2,4.4,-4.1,7.4,5.3,11.7,Fall
12/1/1976,-7.5,-2.8,-12.2,12.7,38.4,36.1,Winter
1/1/1977,-11.7,-7.5,-15.9,0,49.3,36.9,Winter
2/1/1977,-6,-2.2,-9.8,20.4,7.2,26.3,Winter
3/1/1977,2.2,7,-2.7,57,17.2,71.9,Spring
4/1/1977,7.4,13.5,1.2,69.6,0.7,70.3,Spring
5/1/1977,14.5,21.9,7,28.3,0,28.3,Spring
6/1/1977,16.7,23,10.3,104,0,104,Summer
7/1/1977,20.5,26.3,14.6,118.5,0,118.5,Summer
8/1/1977,18,23.7,12.3,103.3,0,103.3,Summer
9/1/1977,15.1,19.3,10.9,154.2,0,154.2,Fall
10/1/1977,8,13.1,2.9,69.4,0,69.4,Fall
11/1/1977,4,7.4,0.6,77.9,6.6,85.9,Fall
12/1/1977,-4.5,-0.8,-8.1,50.3,58.7,102.3,Winter
1/1/1978,-8.6,-4.8,-12.4,30.4,50.8,69.2,Winter
2/1/1978,-9.9,-5.3,-14.5,0,15.5,9.1,Winter
3/1/1978,-3.9,0.4,-8.1,31.5,9.3,39.8,Spring
4/1/1978,4,9.3,-1.4,61.7,2.2,63.9,Spring
5/1/1978,13.2,19.1,7.3,68.2,0,68.2,Spring
6/1/1978,16.7,23.8,9.6,25.2,0,25.2,Summer
7/1/1978,20.4,27.3,13.5,42.5,0,42.5,Summer
8/1/1978,19.7,26.3,13,63.6,0,63.6,Summer
9/1/1978,14.6,20.3,8.9,134.3,0,134.3,Fall
10/1/1978,8.2,13.5,2.8,56.2,0,56.2,Fall
11/1/1978,3,7.7,-1.8,44.4,11.6,52.9,Fall
12/1/1978,-2.8,1,-6.5,40.3,21.6,61.1,Winter
1/1/1979,-7.7,-4.1,-11.3,32.4,41.1,69.6,Winter
2/1/1979,-10.8,-6.5,-15.1,12,27.6,33.5,Winter
3/1/1979,1.6,6.5,-3.3,45.6,3,48.1,Spring
4/1/1979,5.3,10.2,0.4,62.2,25.8,88.6,Spring
5/1/1979,11.4,17.2,5.6,99.2,0,99.2,Spring
6/1/1979,17.2,23.6,10.8,71.8,0,71.8,Summer
7/1/1979,20.5,26.9,14,68,0,68,Summer
8/1/1979,18.6,24.3,12.8,74.2,0,74.2,Summer
9/1/1979,14.9,21.6,8.2,44.5,0,44.5,Fall
10/1/1979,8.5,12.6,4.4,84.2,0,84.2,Fall
11/1/1979,3.7,7.8,-0.4,94.7,1,96.5,Fall
12/1/1979,-1.1,2.7,-4.9,84.4,24.3,101,Winter
1/1/1980,-5.1,-1.3,-8.8,30.6,10.9,37.8,Winter
2/1/1980,-7.8,-3.3,-12.3,6,13.8,16.1,Winter
3/1/1980,-2,2.2,-6.1,54.1,29.4,82.8,Spring
4/1/1980,6.2,11.2,1.1,111.6,0.3,111.9,Spring
5/1/1980,13.8,20.3,7.3,48.7,0,48.7,Spring
6/1/1980,15.2,21,9.3,89.2,0,89.2,Summer
7/1/1980,20.4,26.3,14.5,182.3,0,182.3,Summer
8/1/1980,21.3,26.7,15.8,37.3,0,37.3,Summer
9/1/1980,15,21,9,53.1,0,53.1,Fall
10/1/1980,7,11,3,88.7,0,88.7,Fall
11/1/1980,2.1,5.6,-1.5,26.5,10.6,35.3,Fall
12/1/1980,-6.6,-1.6,-11.5,37.6,29.2,64.7,Winter
1/1/1981,-10.2,-5.6,-14.8,0,14.8,11.9,Winter
2/1/1981,-2.1,2.1,-6.2,45.4,19.5,66.2,Winter
3/1/1981,0,4.9,-4.9,12.4,7.3,17.8,Spring
4/1/1981,7.6,13.4,1.7,49.3,0.4,49.7,Spring
5/1/1981,11.8,18.1,5.4,58.1,0,58.1,Spring
6/1/1981,17.3,23.3,11.3,61.5,0,61.5,Summer
7/1/1981,20.6,26.8,14.4,66.6,0,66.6,Summer
8/1/1981,19.4,24.6,14.1,128.5,0,128.5,Summer
9/1/1981,14.3,18.9,9.7,103.3,0,103.3,Fall
10/1/1981,6.5,10.8,2.1,126.1,6.1,134.9,Fall
11/1/1981,3.4,7.6,-0.8,56.1,1.7,57.8,Fall
12/1/1981,-2.9,0.4,-6.2,9,20.8,34,Winter
1/1/1982,-10.1,-5.1,-15,20.4,44,54.3,Winter
2/1/1982,-7.6,-3.2,-11.9,1.8,27.2,28.3,Winter
3/1/1982,-2,2.3,-6.3,41.7,24.6,64.8,Spring
4/1/1982,4.7,10.6,-1.3,39.4,4.6,43.1,Spring
5/1/1982,14.3,20.1,8.4,45.1,0,45.1,Spring
6/1/1982,15.2,20.3,10.1,112.5,0,112.5,Summer
7/1/1982,20.9,27.4,14.4,31.1,0,31.1,Summer
8/1/1982,17.3,23.2,11.4,120.1,0,120.1,Summer
9/1/1982,14.8,20.1,9.5,128.9,0,128.9,Fall
10/1/1982,9.7,15,4.3,43.5,0,43.5,Fall
11/1/1982,3.9,7.6,0.2,94,1,94.8,Fall
12/1/1982,0.7,4.7,-3.3,56.8,30.4,80.9,Winter
1/1/1983,-4.1,-0.3,-7.9,21.5,13,33.7,Winter
2/1/1983,-3.1,0.8,-6.9,34.7,7.7,40.6,Winter
3/1/1983,0.6,4.5,-3.4,59.3,17.4,77.3,Spring
4/1/1983,5.5,10.1,0.8,82,2,83.2,Spring
5/1/1983,10.1,15.5,4.6,99.5,0,99.5,Spring
6/1/1983,18.3,25,11.6,33,0,33,Summer
7/1/1983,22.3,29,15.6,18.3,0,18.3,Summer
8/1/1983,21.1,26.9,15.2,112.2,0,112.2,Summer
9/1/1983,16.7,23.2,10.2,54.9,0,54.9,Fall
10/1/1983,8.9,13.8,3.9,71.8,0,71.8,Fall
11/1/1983,3.3,7.2,-0.6,78.9,11.9,89.1,Fall
12/1/1983,-6.4,-2.8,-9.9,46.2,36.3,82,Winter
1/1/1984,-9.7,-5,-14.3,3.6,33.4,30.2,Winter
2/1/1984,-1.5,2.5,-5.5,39.2,24.4,59,Winter
3/1/1984,-4.6,-0.1,-9.1,35.4,24.5,59.5,Spring
4/1/1984,7.2,12,2.3,56.5,1.6,58.7,Spring
5/1/1984,10.3,15.6,5,102.8,0,102.8,Spring
6/1/1984,18.2,24.3,12,48.1,0,48.1,Summer
7/1/1984,19.8,25.9,13.6,63.3,0,63.3,Summer
8/1/1984,21.1,27.2,14.9,63.8,0,63.8,Summer
9/1/1984,13.9,19.4,8.3,74.7,0,74.7,Fall
10/1/1984,10.3,15.2,5.4,26.1,0,26.1,Fall
11/1/1984,2.7,7.3,-1.9,69.3,0.6,69.9,Fall
12/1/1984,-0.2,4,-4.3,41.2,19.4,61.3,Winter
1/1/1985,-8.4,-4.4,-12.4,11.4,56,76.6,Winter
2/1/1985,-5.8,-1.7,-9.9,36.5,41,83.1,Winter
3/1/1985,0.3,5.3,-4.7,45.6,28.6,78.6,Spring
4/1/1985,7.3,12.9,1.6,27.5,5.6,33.1,Spring
5/1/1985,13.1,19.6,6.6,75.9,0,75.9,Spring
6/1/1985,15.7,21.6,9.7,37.3,0,37.3,Summer
7/1/1985,19.6,25.5,13.6,91.5,0,91.5,Summer
8/1/1985,19.4,25.1,13.6,152.5,0,152.5,Summer
9/1/1985,17,22.7,11.3,57.6,0,57.6,Fall
10/1/1985,9.4,14.5,4.3,52.3,0,52.3,Fall
11/1/1985,3.4,6.1,0.7,149.6,11,161.8,Fall
12/1/1985,-4.6,-1.5,-7.7,13.9,25.2,35.9,Winter
1/1/1986,-5.6,-1.6,-9.5,14.9,18.8,26.5,Winter
2/1/1986,-6.1,-2.8,-9.4,12.8,20.2,32,Winter
3/1/1986,0.6,5.5,-4.4,34.6,14.4,48.8,Spring
4/1/1986,7.6,13.1,2,51.6,2.2,54,Spring
5/1/1986,14.3,20,8.5,75.2,0,75.2,Spring
6/1/1986,16.4,22.6,10.1,67.4,0,67.4,Summer
7/1/1986,21,26.4,15.6,122.3,0,122.3,Summer
8/1/1986,18.4,24.4,12.4,146.2,0,146.2,Summer
9/1/1986,14.7,19.5,9.9,212.3,0,212.3,Fall
10/1/1986,8.7,13.9,3.5,54.8,0,54.8,Fall
11/1/1986,1.6,5.9,-2.7,27.8,14.2,44.4,Fall
12/1/1986,-1.2,1.7,-4.1,53.7,13.2,67.3,Winter
1/1/1987,-4.6,-1,-8.2,0.6,58.4,56.6,Winter
2/1/1987,-5.8,-0.7,-10.8,3.8,10,14.8,Winter
3/1/1987,1.8,7.6,-4,31.8,14.4,44.2,Spring
4/1/1987,8.8,14.2,3.3,43.6,5,49.8,Spring
5/1/1987,14.7,21.4,7.9,29.6,0,29.6,Spring
6/1/1987,19.6,26,13.1,68.3,0,68.3,Summer
7/1/1987,22.5,27.9,17.1,108.1,0,108.1,Summer
8/1/1987,19.6,25.4,13.7,52.3,0,52.3,Summer
9/1/1987,15.5,20.6,10.3,108,0,108,Fall
10/1/1987,7,12.2,1.8,47.1,1,48.1,Fall
11/1/1987,3.4,7.8,-1,77.8,5.6,83.4,Fall
12/1/1987,-0.3,2.6,-3.1,32.6,12.6,47.4,Winter
1/1/1988,-4.5,-0.1,-8.9,16.9,4.8,21.5,Winter
2/1/1988,-6.8,-1.8,-11.7,12,52,64.6,Winter
3/1/1988,-0.8,3.8,-5.3,21.2,2.4,23.6,Spring
4/1/1988,5.9,10.7,1.1,55.2,0,55.2,Spring
5/1/1988,13.9,20.2,7.6,39.6,0,39.6,Spring
6/1/1988,17.7,25,10.4,25,0,25,Summer
7/1/1988,22.9,29.7,16.1,109.7,0,109.7,Summer
8/1/1988,21.4,27.4,15.3,37.2,0,37.2,Summer
9/1/1988,15.5,21.2,9.7,70.6,0,70.6,Fall
10/1/1988,7.2,11.6,2.7,67.4,0,67.4,Fall
11/1/1988,4.5,8,1,58.1,0,58.1,Fall
12/1/1988,-2.8,1.5,-7.1,18.6,15.6,31.5,Winter
1/1/1989,-2.2,1.9,-6.2,18.8,11.2,25.9,Winter
2/1/1989,-6.5,-2.3,-10.6,0.8,22,19,Winter
3/1/1989,-2.1,2.6,-6.7,14.6,16.8,37.1,Spring
4/1/1989,5.1,10.3,-0.2,36.6,6,41.1,Spring
5/1/1989,13,18.5,7.4,78.2,0.6,79.2,Spring
6/1/1989,18.4,23.5,13.3,94.7,0,94.7,Summer
7/1/1989,21.5,27.7,15.2,70.4,0,70.4,Summer
8/1/1989,19.7,25.4,13.9,39.6,0,39.6,Summer
9/1/1989,15.7,21.5,9.9,44.1,0,44.1,Fall
10/1/1989,9.8,15.4,4.2,76,0,76.2,Fall
11/1/1989,1.9,6.5,-2.8,78.3,5,78.5,Fall
12/1/1989,-10.1,-5.4,-14.7,3.6,30.6,23.8,Winter
1/1/1990,-0.8,2.8,-4.3,23.1,12.8,36.7,Winter
2/1/1990,-3.5,1,-8,47,26,76.9,Winter
3/1/1990,0.7,5.1,-3.8,24.7,4.4,28.7,Spring
4/1/1990,8.3,13.7,2.8,50.8,2.6,53,Spring
5/1/1990,11.6,17.3,5.9,86.6,0,86.6,Spring
6/1/1990,18.7,24.6,12.7,69.4,0,69.4,Summer
7/1/1990,20.9,26.6,15.1,68.4,0,68.4,Summer
8/1/1990,20.3,25.7,14.9,112.6,0,112.6,Summer
9/1/1990,15.3,20.8,9.8,42.8,0,42.8,Fall
10/1/1990,9.5,14.6,4.3,87.8,0,87.8,Fall
11/1/1990,4.6,9.3,-0.2,38.6,1.6,39.6,Fall
12/1/1990,-1,3.3,-5.2,81.5,28.8,112.8,Winter
1/1/1991,-5.7,-1.7,-9.7,11.3,24.6,33.6,Winter
2/1/1991,-2.4,1.9,-6.7,2.9,24,23.5,Winter
3/1/1991,1.6,6.1,-2.8,88,9.4,98.1,Spring
4/1/1991,8.7,13.4,3.9,114.7,0.4,115.4,Spring
5/1/1991,16.3,22.3,10.3,83.6,0,83.6,Spring
6/1/1991,20,26.2,13.8,24.4,0,24.4,Summer
7/1/1991,21.7,27.5,15.8,91,0,91,Summer
8/1/1991,21.1,26.6,15.5,91.4,0,91.4,Summer
9/1/1991,14.9,21,8.7,52.1,0,52.1,Fall
10/1/1991,10.4,15.4,5.3,46.3,0,46.3,Fall
11/1/1991,2.4,6.4,-1.5,42.5,18.2,56.3,Fall
12/1/1991,-2.4,2.2,-6.9,13.4,34,44.7,Winter
1/1/1992,-4.2,-0.8,-7.6,13.6,26.6,37.2,Winter
2/1/1992,-3.9,0,-7.8,23.6,10,35,Winter
3/1/1992,-1.1,3.5,-5.8,16.5,6.6,21.7,Spring
4/1/1992,5.6,9.9,1.2,133.4,0.6,133.8,Spring
5/1/1992,12.3,18.3,6.3,69.7,0,69.7,Spring
6/1/1992,16.4,22.6,10.1,37.2,0,37.2,Summer
7/1/1992,18,22.9,13.1,134.5,0,134.5,Summer
8/1/1992,17.9,23,12.8,154.4,0,154.4,Summer
9/1/1992,14.7,20.2,9.1,98.4,0,98.4,Fall
10/1/1992,7.4,12.5,2.3,65.2,0.4,66,Fall
11/1/1992,2.8,5.9,-0.3,94.4,13.6,107.2,Fall
12/1/1992,-1.6,1.4,-4.7,24.3,35,56.3,Winter
1/1/1993,-4,-0.1,-7.8,43.1,27.2,70.6,Winter
2/1/1993,-8.4,-3.3,-13.4,0,31.8,26.6,Winter
3/1/1993,-2,2.6,-6.7,6.6,28,31,Spring
4/1/1993,6.6,11.6,1.5,83.8,1.6,85.4,Spring
5/1/1993,12.1,18.4,5.8,51.6,0,51.6,Spring
6/1/1993,17.1,22.6,11.6,133.8,0,133.8,Summer
7/1/1993,21.7,27.2,16,87.7,0,87.7,Summer
8/1/1993,21.1,27,15.1,39.9,0,39.9,Summer
9/1/1993,13.6,19.1,8.1,59.2,0,59.2,Fall
10/1/1993,7.9,13.3,2.4,70,0.8,71,Fall
11/1/1993,3.1,6.9,-0.8,61.4,3.8,65.2,Fall
12/1/1993,-2.7,1.1,-6.4,20.4,8.8,28.8,Winter
1/1/1994,-12.4,-7.3,-17.4,30.6,37.8,61,Winter
2/1/1994,-8.3,-3.6,-13,0,24.8,20.2,Winter
3/1/1994,-0.8,3.4,-4.9,23.8,29,51.2,Spring
4/1/1994,7.3,12.9,1.7,83.4,13.2,96,Spring
5/1/1994,11.8,17.6,5.9,78.8,0,78.8,Spring
6/1/1994,19.1,24.9,13.2,54.4,0,54.4,Summer
7/1/1994,21.5,27.3,15.7,83,0,83,Summer
8/1/1994,18.7,24.4,13,60.1,0,60.1,Summer
9/1/1994,15.9,21.5,10.2,51.4,0,51.4,Fall
10/1/1994,10,15.4,4.4,27.4,0,27.4,Fall
11/1/1994,5.4,9.8,0.9,76.7,9.2,84.9,Fall
12/1/1994,-0.1,3.7,-4,23.8,27,51.4,Winter
1/1/1995,-3.1,0.1,-6.2,110,24.6,133.3,Winter
2/1/1995,-7.3,-2.7,-11.8,8.8,14.6,20.8,Winter
3/1/1995,1.9,7.2,-3.4,43.2,8,50.8,Spring
4/1/1995,4.1,8.8,-0.6,71.8,5.4,76.6,Spring
5/1/1995,13.3,19,7.6,87,0,87,Spring
6/1/1995,19.9,25.5,14.4,52.1,0,52.1,Summer
7/1/1995,21.9,27.4,16.3,55.4,0,55.4,Summer
8/1/1995,21.8,27,16.6,135.4,0,135.4,Summer
9/1/1995,14,20.1,7.8,27.5,0,27.5,Fall
10/1/1995,11,15.4,6.6,131.8,0,131.8,Fall
11/1/1995,1,3.9,-2,92.6,27.2,121.6,Fall
12/1/1995,-5.1,-1.8,-8.5,5,30.6,35.8,Winter
1/1/1996,-6.7,-2.1,-11.2,51.2,25,72.6,Winter
2/1/1996,-5.8,-2.1,-9.5,26,10.6,38.2,Winter
3/1/1996,-2.8,1.9,-7.5,2.2,34.4,36.2,Spring
4/1/1996,4.4,8.9,-0.2,81.6,17.4,101.6,Spring
5/1/1996,11.6,17.1,6.1,90.6,0,90.6,Spring
6/1/1996,18.6,23.1,14.1,118,0,118,Summer
7/1/1996,19.6,24.8,14.3,97.4,0,97.4,Summer
8/1/1996,20.7,26.3,15.2,48.2,0,48.2,Summer
9/1/1996,16.5,21.1,11.9,166.2,0,166.2,Fall
10/1/1996,9.2,13.6,4.7,75.8,0,75.8,Fall
11/1/1996,0.9,4.1,-2.3,23.4,6.8,29.8,Fall
12/1/1996,-0.4,2.5,-3.3,66.2,28.2,95.2,Winter
1/1/1997,-6.4,-1.8,-10.9,18.2,48.8,64.6,Winter
2/1/1997,-3.2,1.4,-7.7,62,16.4,78.6,Winter
3/1/1997,-1.4,2.7,-5.4,29.8,41.6,69.8,Spring
4/1/1997,5.8,11.2,0.4,25.2,2.6,29.2,Spring
5/1/1997,9.6,14.9,4.2,65.4,0,65.4,Spring
6/1/1997,19.8,25.5,14,50.8,0,50.8,Summer
7/1/1997,20.9,26.8,15,30,0,30,Summer
8/1/1997,19,24.4,13.4,71.8,0,71.8,Summer
9/1/1997,15.5,20.9,10,48,0,48,Fall
10/1/1997,9.5,14.7,4.2,32.2,2.8,35.2,Fall
11/1/1997,2.5,5.9,-1,35.2,19.2,55,Fall
12/1/1997,-0.9,2.2,-4,17,12.2,30.2,Winter
1/1/1998,-2.2,1,-5.3,72.8,24,97.2,Winter
2/1/1998,-0.3,3.4,-4,43.8,1.4,45.8,Winter
3/1/1998,2.1,6.4,-2.1,72.4,28,98.4,Spring
4/1/1998,8.6,14.4,2.8,57.2,0,57.2,Spring
5/1/1998,17,22.5,11.5,71.8,0,71.8,Spring
6/1/1998,18.9,24.4,13.4,80.5,0,80.5,Summer
7/1/1998,21.2,27,15.4,45.4,0,45.4,Summer
8/1/1998,21.7,27.6,15.7,26.8,0,26.8,Summer
9/1/1998,18.2,24.7,11.6,38.4,0,38.4,Fall
10/1/1998,10.8,15.8,5.7,24,0,24,Fall
11/1/1998,4.9,8.6,1.1,33.6,0,33.6,Fall
12/1/1998,0.7,5.1,-3.6,55.2,8.1,63,Winter
1/1/1999,-6.2,-2.3,-10.1,33,79.6,107,Winter
2/1/1999,-1.6,2.4,-5.6,24,3.4,27.4,Winter
3/1/1999,0.2,4.7,-4.3,0.6,21.4,23.4,Spring
4/1/1999,8.1,13.1,3.1,43.3,3.6,48.9,Spring
5/1/1999,15.5,21.2,9.7,39,0,39,Spring
6/1/1999,20.4,25.7,15,66.2,0,66.2,Summer
7/1/1999,24.3,30,18.6,44.4,0,44.4,Summer
8/1/1999,20.3,24.9,15.6,59,0,59,Summer
9/1/1999,18,23.3,12.6,80,0,80,Fall
10/1/1999,9.4,14.1,4.5,61.8,0,61.8,Fall
11/1/1999,5.8,9.6,1.9,77,1.2,78.2,Fall
12/1/1999,-0.7,3.1,-4.4,17.4,8.6,26.5,Winter
1/1/2000,-5.8,-1.1,-10.5,16.4,17,29.2,Winter
2/1/2000,-3.1,1.1,-7.4,15.4,39.1,48.4,Winter
3/1/2000,4.5,9.4,-0.4,10.2,7.8,18.8,Spring
4/1/2000,6.7,11.2,2.2,72.4,7.6,79.3,Spring
5/1/2000,14.3,19.3,9.2,124.4,0,124.4,Spring
6/1/2000,18.2,23.6,12.8,169.2,0,169.2,Summer
7/1/2000,20.1,24.9,15.2,33.8,0,33.8,Summer
8/1/2000,20.6,25.8,15.4,38,0,38,Summer
9/1/2000,15.9,21.1,10.6,70,0,70,Fall
10/1/2000,11.2,16.2,6.1,17.6,0,17.6,Fall
11/1/2000,3.6,7.2,0,55,0.4,55.6,Fall
12/1/2000,-7.2,-3,-11.3,12.8,63.8,71.4,Winter
1/1/2001,-4.1,-0.6,-7.5,21,10.8,31.2,Winter
2/1/2001,-3,0.6,-6.5,55.6,36,94,Winter
3/1/2001,-0.3,3.2,-3.8,8.8,26.4,31.4,Spring
4/1/2001,8.3,13.9,2.5,35.8,0.6,36.4,Spring
5/1/2001,14.8,20.2,9.3,92.2,0,92.2,Spring
6/1/2001,19.7,24.7,14.5,61.8,0,61.8,Summer
7/1/2001,21,26.2,15.6,34,0,34,Summer
8/1/2001,23.2,28.8,17.5,34.6,0,34.6,Summer
9/1/2001,16.7,22.1,11.3,50.4,0,50.4,Fall
10/1/2001,10.6,15,6.1,108.8,0,108.8,Fall
11/1/2001,7.1,11.3,2.9,75,0,75,Fall
12/1/2001,1.7,5.1,-1.7,33,7.8,40.6,Winter
1/1/2002,-0.5,2.7,-3.7,14.6,31.4,46.2,Winter
2/1/2002,-1.3,2.9,-5.5,29.6,7,38.4,Winter
3/1/2002,0.4,4.8,-4,44.1,17.6,61.3,Spring
4/1/2002,7.3,11.8,2.7,88.8,12.2,103.2,Spring
5/1/2002,10.9,16.3,5.4,80.7,0,80.7,Spring
6/1/2002,19.1,24.5,13.7,59.6,0,59.6,Summer
7/1/2002,24.2,30.1,18.3,59,0,59,Summer
8/1/2002,22.6,28.4,16.8,11.6,0,11.6,Summer
9/1/2002,20.2,25.9,14.4,59.2,0,59.2,Fall
10/1/2002,8.9,13.1,4.6,43,0,43,Fall
11/1/2002,3.2,6.6,-0.2,42.2,27.2,67.2,Fall
12/1/2002,-2,1.7,-5.7,14.2,19.5,32.5,Winter
1/1/2003,-8.3,-4.2,-12.3,0,41.4,35.4,Winter
2/1/2003,-7,-2.4,-11.5,22.6,23.6,46.8,Winter
3/1/2003,-0.7,4.6,-6.1,27.8,23.8,50,Spring
4/1/2003,5.7,10.9,0.4,21.6,15.2,60.8,Spring
5/1/2003,12.3,17,7.5,152.8,0,152.8,Spring
6/1/2003,18.3,23.6,13,63.8,0,63.8,Summer
7/1/2003,21.8,27.1,16.5,66.2,0,66.2,Summer
8/1/2003,22.1,27.2,16.9,53.4,0,53.4,Summer
9/1/2003,17,22,11.9,114.2,0,114.2,Fall
10/1/2003,9.1,13.9,4.2,49.4,0,49.4,Fall
11/1/2003,4.7,8.4,1,135.2,6.4,141.2,Fall
12/1/2003,-0.1,3.2,-3.5,45,19.2,61.6,Winter
1/1/2004,-9.4,-5.2,-13.5,4.8,63.2,49.6,Winter
2/1/2004,-3.8,0.5,-8,5.4,17.2,20.8,Winter
3/1/2004,2.3,6.1,-1.6,51.8,14.2,63.4,Spring
4/1/2004,7,11.9,2,63.6,0.6,64.2,Spring
5/1/2004,13.2,18.4,7.8,98.8,0,98.8,Spring
6/1/2004,17.6,23,12.1,62.8,0,62.8,Summer
7/1/2004,20.7,25.2,16.1,119.8,0,119.8,Summer
8/1/2004,19.5,24.4,14.6,60,0,60,Summer
9/1/2004,18.4,23.8,12.9,25.2,0,25.2,Fall
10/1/2004,10.7,15,6.4,35.2,0,35.2,Fall
11/1/2004,5.4,9.2,1.5,62,2.8,64.8,Fall
12/1/2004,-2.8,1.2,-6.7,53.9,36.9,90.4,Winter
1/1/2005,-6.8,-2.8,-10.9,37.8,33.2,70.4,Winter
2/1/2005,-4,0.2,-8.2,43,33.4,75.6,Winter
3/1/2005,-1.6,2.6,-5.9,9.6,25.6,32.8,Spring
4/1/2005,7.8,12.8,2.7,81.2,16.2,97.6,Spring
5/1/2005,11.9,17.2,6.6,14.4,0,14.4,Spring
6/1/2005,22.6,27.9,17.3,31.8,0,31.8,Summer
7/1/2005,24.1,29.9,18.3,20.4,0,20.4,Summer
8/1/2005,22.5,27.7,17.3,135.6,0,135.6,Summer
9/1/2005,19,24.5,13.4,79.6,0,79.6,Fall
10/1/2005,11.1,15,7.2,47.4,0,47.4,Fall
11/1/2005,5.1,9.3,0.8,91.4,12.4,102.2,Fall
